大越史記本紀續編卷之十六	Đại Việt Sử Ký Bản Kỷ Tục Biên quyển chi thập lục.
加太傅溪郡公鄭杖爲中軍都督府左都督掌府事太傅莅郡公鄭棟爲東軍都督府左都督掌府事少尉雲郡公鄭榩爲南軍都督府左都督署府事少尉豪郡公黎時憲爲西軍都督府左都督署府事少傅奠郡公鄭楃爲北軍都督府左都督署府事〇	Gia Thái phó Khê quận công Trịnh Trượng vi Trung quân đô đốc phủ tả đô đốc, chưởng phủ sự; Thái phó Li quận công Trịnh Đống vi Đông quân đô đốc phủ tả đô đốc, chưởng phủ sự; Thiếu uý Vân quận công Trịnh Kiền vi Nam quân đô đốc phủ tả đô đốc thự phủ sự; Thiếu Uý Hào quận công Lê Thời Hiến vi Tây quân đô đốc phủ tả đô đốc thự phủ sự; Thiếu phó Điện quận công Trịnh Ốc vi Bắc quân đô đốc phủ tả đô đốc thự phủ sự .
僃置六部尙書員数	Bị trí lục bộ thượng thư viên số.
以參從范公著爲吏部尙書陪從陳登選爲户部尙書阮能紹爲禮部尙書武惟志爲兵部尙書潘兼全爲刑部尙書	Dĩ Tham tụng Phạm Công Trứ vi Lại bộ Thượng thư, Bồi tụng Trần Đăng Tuyển vi Hộ bộ thượng thư, Nguyễn Năng Thiệu vi Lễ bộ Thượng thư, Vũ Duy Chí vi Binh bộ thượng thư, Phan Kiêm Toàn vi Hình bộ thượng thư.
又以黎仕澈爲御史󰉟都	Hựu dĩ Lê Sĩ Triệt vi Ngự sử đài đô..
御史〇	ngự sử .
論奉使功	Luận phụng sứ công.
以禮部右侍郎芳桂伯黎斅爲工部尙書陞侯爵國子監司業延禄子楊㵆爲工部左侍郎陞伯爵刑科都給事中義嶺男同存澤爲户部右侍郎陞子爵	Dĩ Lễ bộ Hữu thị lang Phương Quế bá Lê Hiệu vi Công bộ Thượng thư, thăng hầu tước; Quốc tử giám tư nghiệp Diên Lộc tử Dương Hạo vi Công bộ Tả thị lang, thăng bá tước; Hình khoa đô cấp sự trung Nghĩa Lĩnh nam Đồng Tồn Trạch vi Hộ bộ Hữu thị lang, thăng tử tước.
又以阮勢濱通諳北語隨使濟事陞爲京北處參政伯爵〇	Hựu dĩ Nguyễn Thế Tân thông am Bắc ngữ tuỳ sứ tế sự thăng vi Kinh Bắc xứ tham chính bá tước .
以大理少卿香澤子武方丈爲太僕寺卿太常少卿廉勇子陳登瀛爲尙寶寺卿以其隨理國府常從征伐有功故也〇	Dĩ Đại lí thiếu khanh Hương Trạch tử Vũ Phương Trượng vi Thái bộc tự khanh; Thái thường thiếu khanh Liêm Dũng tử Trần Đăng Doanh vi Thượng bảo tự khanh, dĩ kì tuỳ Lí Quốc Phủ thường tòng chinh phạt hữu công, cố dã .
聘王次女鄭氏玉𣖮爲正宮〇	Sính Vương thứ nữ Trịnh thị Ngọc áng vi Chính cung .
令旨各處承司送下所属縣官𮞏年至	Lệnh chỉ các xứ thừa ti tống hạ sở thuộc huyện quan đệ niên chí..
十月期徃勘民間堤路有應築作者僃實以聞	thập nguyệt kì vãng khám dân gian đê lộ, hữu ứng trúc tác giả bị thực dĩ văn.
某處功程小者照補水勢所及各社民任爲私役許縣官督押	Mỗ xứ công trình tiểu giả chiếu bổ thuỷ thế sở cập các xã dân nhiệm vi tư dịch, hứa huyện quan đốc áp.
某處功呈浩大待差官押作期以正月初十日起功三月中旬完成永爲恒式〇	Mỗ xứ công trình hạo đại đãi sai quan áp tác kì dĩ chính nguyệt sơ thập nhật khởi công, tam nguyệt trung tuần hoàn thành, vĩnh vi hằng thức .
命官平補四鎮季税例〇	Mệnh quan bình bổ tứ trấn quý thuế lệ .
十二月清遣正使吳光副使朱志遠等來諭祭神宗淵皇帝	Thập nhị nguyệt, Thanh khiến Chính sứ Ngô Quang, phó sứ Chu Chí Viễn đẳng lai dụ tế Thần Tông Uyên Hoàng Đế.
其祭文曰遐方抒慕義之悃屏翰宣猷國家弘柔遠之恩贈唁示䘏爾安南國王輸誠納欸向化歸心獻馘而俘僞王助兵以除鄧賊克宣忠盡荗	Kì tế văn viết: Hà phương trữ mộ nghĩa chi khổn bình hàn tuyên du quốc gia hoằng nhu viễn chi ân tặng nghiễn thị tuất Nhĩ An Nam quốc vương thâu thành nạp ái hướng hoá, quy tâm hiến quắc nhi phù nguỵ vương trợ binh dĩ trừ Đặng tặc khắc, tuyên trung tận mậu..
著勳簩方将寵錫殊恩何意溘先朝露兹聞訃告㦖惻良深	trứ huân lao, phương tương sủng tích thù ân, hà ý khạp tiên triều lộ! Tư văn phó cáo, muộn trắc lương thâm.
特攷祭賻之儀以昭軫悼之意	Đặc khảo tế phụ chi nghi, dĩ chiêu chẩn điệu chi ý.
嗚呼効共球於南服永篤忠貞賁華衮於幽宫式光泉壤靈如不昧尙克欽承〇	Ô hô, hiệu cộng cầu ư Nam phục vĩnh đốc trung trinh bôn hoa cổn ư u cung thức quang tuyền nhưỡng, linh như bất muội thượng khắc khâm thừa .
南郊殿成	Nam Giao điện thành.
乙巳三年明永曆十九年清康熙四年春三月許内外各職陞次	Ất Tị tam niên, [Minh Vĩnh Lịch thập cửu niên, Thanh Khang Hi tứ niên,] xuân tam nguyệt, hứa nội ngoại các chức thăng thứ.
以翰林院侍󰕖鄧公質爲工部右侍郎黎德望爲海陽處承政使阮偉爲安廣䖏承政使范維質爲東各大學士阮永爲乂安處參政范立禮爲山西處參政裴廷員爲東閣學士阮公璧	Dĩ Hàn lâm viện thị giảng Đặng Công Chất vi Công bộ Hữu thị lang, Lê Đức Vọng vi Hải Dương xứ Thừa chính sứ, Nguyễn Vĩ vi An Quảng xứ Thừa Chính sứ, Phạm Duy Chất vi Đông các Đại học sĩ, Nguyễn Vĩnh vi Nghệ An xứ Tham chính, Phạm Lập Lễ vi Sơn Tây xứ Tham chính, Bùi Đình Viên vi Đông các học sĩ, Nguyễn Công Bích..
爲太常寺卿阮廷正爲奉天府尹范質黎得全汪銳梁誼黎榮黄德敦並爲都給事中	vi Thái thường tự khanh, Nguyễn Đình Chính vi Phụng Thiên phủ doãn, Phạm Chất, Lê Đắc Toàn, Uông Nhuệ, Lương Nghị, Lê Vinh, Hoàng Đức Đôn tịnh vi Đô cấp sự trung.
阮榮盛武弼諧爲提刑監察御史杜善政阮公弼武求誨黎志道黎仁傑譚登用並爲給事中頼登進黎致平枚仲和費登任並爲憲察使武公平吳策諭爲翰林院校討阮廷柱阮光繕黎軾阮仕教汝進用梁荗勳武卓犖阮曰當阮進材裴宗並爲監察御史	Nguyễn Vinh Thịnh, Vũ Bật Hài vi Đề hình giám sát ngự sử, Đỗ Thiện Chính, Nguyễn Công Bật, Vũ Cầu Hối, Lê Chí Đạo, Lê Nhân Kiệt, Đàm Đăng Dụng tịnh vi Cấp sự trung; Lại Đăng Tiến, Lê Trí Bình, Mai Trọng Hoà, Phí Đăng Nhiệm tịnh vi Hiến sát sứ; Vũ Công Bình, Ngô Sách Dụ vi Hàn lâm viện Hiệu thảo; Nguyễn Đình Trụ, Nguyễn Quang Thiện, Lê Thức Nguyễn Sĩ Giáo, Nhữ Tiến Dụng, Lương Mậu Huân, Vũ Trác Lạc, Nguyễn Viết Đương, Nguyễn Tiến Tài, Bùi Tông tịnh vi Giám sát ngự sử.
又以經歷阮光岳爲司業阮登明爲興化處憲察使張論道黎純噽寧達黎僚	Hựu dĩ kinh lịch Nguyễn Quang Nhạc vi Tư nghiệp, Nguyễn Đăng Minh vi Hưng Hoá xứ Hiến sát sứ, Trương Luận Đạo, Lê Thuần Phỉ Ninh Đạt, Lê Liêu..
阮嵩並爲監察御使	Nguyễn Tung tịnh vi Giám sát ngự sử.
時光岳登明等原被貶罷至是准許陞次故復得録用〇	Thời, Quang Nhạc, Đăng Minh đẳng nguyên bị biếm bãi, chí thị chuẩn hứa thăng thứ, cố phục đắc lục dụng .
令旨御史󰉟考課内外任各衙門官并吏行過事跡	Lệnh chỉ Ngự sử đài khảo khoá nội ngoại nhiệm các nha môn quan tịnh lại hành quá sự tích.
官則立爲三等吏則分爲二等歲季僃類以聞論行黜陟	Quan tắc lập vi tam đẳng, lại tắc phân vi nhị đẳng, tuế quý bị loại dĩ văn luận hành truất trắc.
自是以爲常式〇	Tự thị dĩ vi thường thức .
夏四月加諒山藩臣阮廷繼爵弘郡公以其論得土酋閉公亮閉國濟歸命故也〇	Hạ tứ nguyệt, gia Lạng Sơn phiên thần Nguyễn Đình kế tước Hoằng quận công dĩ kì luận đắc thổ tù Bế Công Lượng, Bế Quốc Tế quy mệnh cố dã .
以參議范公兼爲山南處參政〇	Dĩ Tham nghị Phạm Công Kiêm vi Sơn Nam xứ Tham chính .
禮部左侍郎慈廉侯阮可濯以年老乞致仕	Lễ bộ Tả thị lang Từ Liêm hầu Nguyễn Khả Trạc dĩ niên lão khất trí sĩ.
許之加陞工部尙書慈郡公更給以惠養田禄〇	Hứa chi, gia thăng Công bộ Thượng thư Từ quận công, cánh cấp dĩ huệ dưỡng điền lộc .
令旨	Lệnh chỉ..
申禁鬪鷄圍棊賭博及巫覡僧妮等事〇	thân cấm đấu kê, vi kì, đổ bác, cập vu hích, tăng ni đẳng sự .
令旨内外該勘諸司凣勘訟有所論刑僃類以聞罪至死者付下襨議施行罪則杖者便宜行之毋得淹滯〇	Lệnh chỉ nội ngoại cai khám chư ti phàm khám tụng hữu sở luận hình bị loại dĩ văn, tội chí tử giả phó hạ phức nghị thi hành, tội tắc trượng giả tiện nghi hành chi, vô đắc yêm đái .
秋七月禮部左侍郎豊禄子吳濬年七十乞致事	Thu thất nguyệt, Lễ bộ Tả thị lang Phong lộc tử Ngô Tuấn niên thất thập khất trí sự.
許之	Hứa chi.
加陞工部尙書伯爵更給以田禄隨行惠養〇	Gia thăng Công bộ Thượng thư bá tước, cánh cấp dĩ điền lộc tuỳ hành huệ dưỡng .
八月󰀋立正宫鄭氏玉𣖮爲皇后〇	Bát nguyệt, sách lập Chính cung Trịnh thị Ngọc Áng vi Hoàng hậu .
尊親生母范氏玉厚爲皇太后太后雷陽㫧銳人〇	Tôn thân sinh mẫu Phạm thị Ngọc Hậu vi Hoàng Thái hậu [Thái hậu Lôi Dương Bạo Nhuệ nhân,] .
冬十一月命官考制内外各司行過事跡	Đông thập nhất nguyệt, mệnh quan khảo chế nội ngoại các ti hành quá sự tích.
貶户部尙書川郡公陳登選爲户部左侍郎禮部	Biếm Hộ bộ Thượng thư Xuyên quận công Trần Đăng Tuyển vi Hộ bộ Tả thị lang, Lễ bộ..
尙書陽郡公阮能紹爲禮部左侍郎吏部左侍郎道江子阮宗澧爲禮部右侍郎都御史桂海侯黎仕澈爲刑部左侍郎副都御史麗海子武榮進爲太僕寺卿僉都御史㫧川男鄭時濟爲鴻臚寺卿刑部尙書瑞郡公潘兼全爲户部右侍郎以登選等舊任御史及仕澈等當任御史勘訟逾期而兼全舊任吏部銓除超次故也	thượng thư Dương quận công Nguyễn Năng Thiệu vi Lễ bộ Tả thị lang, Lại bộ Tả thị lang Đạo Giang tử Nguyễn Tông Lễ vi Lễ bộ Hữu thị lang, Đô ngự sử Quế Hải hầu Lê Sĩ Triệt vi Hình bộ Tả, thị lang Phó đô ngự sử Lệ Hải tử Vũ Vinh Tiến vi Thái bộc tự khanh, Thiêm đô ngự sử bạo Xuyên nam Trịnh Thời Tế vi Hồng lô tự khanh, Hình bộ Thượng thư Thuỵ quận công Phan Kiêm Toàn vi Hộ bộ Hữu thị lang, dĩ Đăng Tuyển đẳng cựu nhiệm ngự sử cập Sĩ triệt đẳng đương nhiệm ngự sử khám tụng du kì, nhi Kiêm Toàn cựu nhiệm Lại bộ thuyên trừ siêu thứ cố dã.
先是吏部尙書范公著之子公兼由參議陞任參政朝臣以爲不可相率力爭	Tiên thị, Lại bộ Thượng thư Phạm Công Trứ chi tử Công Kiêm do Tham nghị thăng nhiệm Tham chính, triều thần dĩ vi bất khả, tương suất lực tranh.
王不悅即命公著	Vương bất duyệt, tức mệnh Công Trứ..
與黎斅查刷諸司所行事故並被貶黜〇	dữ Lê Hiệu tra xoát chư ti sở hành sự, cố tịnh bị biếm truất .
立除任品次條例	Lập trừ nhiệm phẩm thứ điều lệ.
間有軍功前以授便許職超資再詔功次循品銓除〇	Gian hữu quân công tiền dĩ thụ tiện hứa chức siêu tư tái chiếu công thứ tuần phẩm thuyên trừ .
令旨各處承司精擇属内各縣社有孝廉者即以名聞命官閲選隨材授任〇	Lệnh chỉ các xứ Thừa ti tinh trạch thuộc nội các huyện xã hữu hiếu liêm giả tức dĩ danh văn, mệnh quan duyệt tuyển tuỳ tài thụ nhiệm .
申明行儀品服噐用各條〇	Thân minh hành nghi phẩm phục khí dụng các điều .
十二月以申德才爲參督漢郡公〇	Thập nhị nguyệt, dĩ Thân Đức Tài vi Tham đốc Hán quận công .
加兵部左侍郎潤裔子胡士揚伯爵以其累徃關上候命接使濟事故也〇	Gia Binh bộ Tả thị lang Nhuận Duệ tử Hồ Sĩ Dương bá tước, dĩ kì luỵ vãng quan thượng hầu mệnh tiếp sứ tế sự cố dã .
以户部右侍郎義嶺子同存澤爲工部左侍郎〇	Dĩ Hộ bộ Hữu thị lang Nghĩa Lĩnh tử Đồng Tồn Trạch vi Công bộ Tả thị lang .
加提刑監察御史武弼諧爵書澤男刑	Gia Đề hình giám sát ngự sử Vũ Bật Hài tước Thư trạch nam, Hình..
科給事中黎仁傑爵朗圭男並以奉差徃安廣公務故特許之〇	khoa cấp sự trung Lê Nhân Kiệt tước Lãng Khuê nam, tịnh dĩ phụng sai vãng Yên Quảng công vụ, cố đặc hứa chi .
以陳進朝爲參督兼郡公〇	Dĩ Trần Tiến Triều vi Tham đốc Kiêm quận công .
令旨自今該勘諸司斷已當理而訟人妄自翻襨者各隨訟理大小照官品髙下論謝錢有差〇	Lệnh chỉ tự kim cai khám chư ti đoạn dĩ đương lí nhi tụng nhân vọng tự phiên phức giả các tuỳ tụng lí đại tiểu chiếu quan phẩm cao hạ luận tạ tiền hữu sai .
東閣大學士范維質卒	Đông các Đại học sĩ Phạm Duy Chất tốt.
贈工部右侍郎	Tặng Công bộ Hữu thị lang.
丙午四年明永曆二十年清康熙五年時莫孽敬宇竊㨿髙平茶毒方民	Bính Ngọ tứ niên, [Minh Vĩnh Lịch nhị thập niên Thanh Khang Hi ngũ niên,] thời, Mạc nghiệt Kính Vũ thiết cứ Cao Bằng trà độc phương dân.
太原藩将通郡公何仕置率本處兵討之爲賊所獲	Thái Nguyên phiên tướng Thông quận công Hà Sĩ Trí suất bản xứ binh thảo chi, vi tặc sở hoạch.
報至王命太傅莅郡公鄭棟爲統領少尉豪郡公黎時憲副之鴻臚寺卿㫧川	Báo chí, Vương mệnh Thái phó Li quận công Trịnh Đống vi thống lĩnh, Thiếu uý Hào quận công Lê Thời Hiến phó chi, Hồng lô tự khanh bạo Xuyên..
男鄭時濟吏科給事中杜善正爲督視領諸軍徃進擊	nam Trịnh Thời Tế, Lại khoa cấp sự trung Đỗ Thiện Chính vi đốc thị, lĩnh chư quân vãng tiến kích.
敬宇乃殺通郡公何仕置棄其巢穴遁入山林	Kính Vũ nãi sát Thông quận công Hà Sĩ Trí, khí kì sào huyệt độn nhập sơn lâm.
於是官軍從火焚毀所居而還〇	Ư thị, quan quân tung hoả phàn huỷ sở cư nhi hoàn .
二月擢清華參政阮名實爲鴻臚寺卿賞錢一百貫	Nhị nguyệt, trạc Thanh Hoa Tham chính Nguyễn Danh Thực vi Hồng lô tự khanh, thưởng tiền nhất bách quán.
時有監察御史黎僚原與名實同士望科素所相識	Thời, hữu Giám sát ngự sử Lê Liêu nguyên dữ Danh Thực đồng sĩ vọng khoa tố sở tương thức.
及僚丁父憂回家守制多行悖理不法有訟到衙門名實鞫得其状斷以公義謹啓論糾上	Cập Liêu đinh phụ ưu hồi gia thủ chế, đa hành bột lí bất pháp, hữu tụng đáo nha môn, Danh Thực cúc đắc kì trạng đoạn dĩ công nghĩa cẩn khải luận kiểu thượng.
嘉其不私親故特賞擢之〇	Gia kì bất tư thân cố đặc thưởng trạc chi .
夏四月旨傳諸該𬋩將校撫養士卒如有病恙給以藥餌保養	Hạ tứ nguyệt, chỉ truyền chư cai quản tướng hiệu phủ dưỡng sĩ tốt, như hữu bệnh dạng cấp dĩ dược nhĩ bảo dưỡng,..
歲以爲常〇	tuế dĩ vi thường .
以汪銳爲清華處參政〇	Dĩ Uông Nhuệ vi Thanh Hoa xứ Tham chính .
五月清遣范成功馬文壁賫勑諭出南關令拿解海冦楊二楊三黨軰	Ngũ nguyệt, Thanh khiến Phạm Thành Công, Mã Văn Bích tê sắc dụ xuất Nam Quan, lệnh nã giải hải khấu Dương Nhị, Dương Tam đảng bối.
