大越史記本紀實録卷之十一	Đại Việt sử ký bản kỷ thực lục quyển chi thập nhất.
川伯潘廷佐道川侯阮文泰文達伯阮荗崇禮伯何景道沂川伯莫益徵興殷伯阮鏏祿憲侯阮狄文塲伯范正誼文斗侯阮專羙河汾伯阮度蘇川侯黎光賁文寧侯阮典敬及中宮掌監阮厚廉等五十六人皆陞秩賜爵有差	Xuyên bá Phan Đình Tá, Đạo Xuyên hầu Nguyễn Văn Thái, Văn Đạt bá Nguyễn Mậu, Sùng Lễ bá Hà Cảnh Đạo, Nghi Xuyên bá Mạc Ích Trưng, Hưng Ân bá Nguyễn Tuệ, Lộc Hiến hầu Nguyễn Địch, Văn Trường bá Phạm chính Nghị, Văn Đẩu hầu Nguyễn Chuyên Mĩ, Hà Phấn bá Nguyễn Độ, Tô Xuyên hầu Lê Quang Bí, Văn Ninh hầu Nguyễn Điển Kính, cập Trung cung chưởng giám Nguyễn Hậu Liêm đẳng ngũ thập lục nhân giai thăng trật, tứ tước hữu sai.
登庸使人徃燕京告于明人謂黎氏子孫無人丞嗣囑使大臣莫氏權官國事統撫民眾	Đăng Dung sử nhân vãng Yên Kinh cáo vu Minh nhân: Vị Lê thị tử tôn vô nhân thừa tự, chúc sử đại thần Mạc thị quyền quan quốc sự, thống phủ dân chúng.
明人不信密使人徃探訪國内消息詰問因由陰求黎氏子孫以立之	Minh nhân bất tín, mật sử nhân vãng thám phỏng quốc nội tiêu tức, cật vấn, nhân do âm cầu Lê thị tử tôn dĩ lập chi.
莫人每以文詞華飭對答又	Mạc nhân mỗi dĩ văn từ hoa sức đối đáp, hựu..
多以金銀賄賂	đa dĩ kim ngân hối lộ.
及使回密告謂黎氏子孫既絶弗䏻嗣政委托于莫	Cập sứ hồi, mật cáo vị Lê thị tử tôn ký tuyệt, phất năng tự chính, uỷ thác vu Mạc.
國人尊服㱕之乞少恕罪	Quốc nhân tôn phục quy chi, khất thiểu thứ tội.
明帝罵不許	Minh đế mạ, bất hứa.
登庸恐明人問罪乃謀割地納㱕順二州人民及金銀二軀并寶珍奇貨異物	Đăng Dung khủng Minh nhân vấn tội, nãi mưu cát địa nạp quy thuận nhị châu nhân dân cập kim ngân nhị khu, tịnh bảo chân, kì hoá, dị vật.
明帝納之	Minh đế nạp chi.
自此南北復通使徃來	Tự thử, Nam Bắc phục thông sứ vãng lai.
冬十月登庸以承平之後制度稍弛意欲更張振作乃命其臣國憲等議定兵制田制祿制及置興國昭武錦衣金吾四衛并五府内外各衛所所属各司司號官名及各衙門員數人數兵	Đông, thập nguyệt, Đăng Dung dĩ thừa bình chi hậu, chế độ sảo thỉ, ý dục cánh trương chấn tác, nãi mệnh kì thần Quốc Hiến đẳng nghị định binh chế, điền chế, lộc chế cập trí Hưng quốc, Chiêu vũ, Cẩm y, Kim ngô tứ vệ, tịnh ngũ phủ nội ngoại, các vệ sở sở thuộc các ti, ti hiệu quan danh, cập các nha môn viên, số nhân, số binh,..
數倣如前朝官制依例編補充之	số phỏng như tiền triều quan chế, y lệ biên bổ sung chi.
廼以海陽處鎮兵属為興國衛山南處鎮兵属㱕昭武衛山西處鎮兵属㱕錦衣衛京北處鎮兵属歸金吾衛	Nãi dĩ Hải Dương xứ trấn binh thuộc vi Hưng Quốc vệ, Sơn Nam xứ trấn binh thuộc quy Chiêu Vũ vệ, Sơn Tây xứ trấn binh thuộc quy Cẩm Y vệ, Kinh Bắc xứ trấn binh thuộc quy Kim Ngô vệ.
分補各司每司置指揮使一貟指揮同知一員指揮僉事一貟忠校十貟忠士一千一百人分爲二十二番宿直	Phân bổ các ti, mỗi ti trí chỉ huy sứ nhất viên, chỉ huy đồng tri nhất viên, chỉ huy thiêm sự nhất viên, trung hiệu thập viên, trung sĩ nhất thiên nhất bách nhân, phân vi nhị thập nhị phiên túc trực.
如有功勞除千户統制𬋩領中尉等職	Như hữu công lao trừ thiên hộ, thống chế, quản lĩnh, trung uý đẳng chức.
每衛置書記一貟用前記錄出身如除首領牧民各職	Mỗi vệ trí thư ký nhất viên, dụng tiền ký lục xuất thân, như trừ thủ lĩnh mục dân các chức.
其忠士照例分番每番分為五甲每甲置甲首一貟本司官擇取忠校的	Kì trung sĩ chiếu lệ phân phiên, mỗi phiên phân vi ngũ giáp, mỗi giáp trí giáp thủ nhất viên, bản ti quan trạch thủ trung hiệu đích..
當者具本除授	đáng giả cụ bản trừ thụ.
己丑莫明德三年明嘉靖八年	Kỉ Sửu [Mạc Minh Đức tam niên Minh gia Tĩnh bát niên].
時黎朝𦾔臣鄭顒鄭昂兄弟二人奔告于明	Thời, Lê triều cựu thần Trịnh Ngung, Trịnh Ngang huynh đệ nhị nhân bôn cáo vu Minh.
莫氏多用賄賂於明沮之	Mạc thị đa dụng hối lộ ư Minh tự chi.
事未䏻濟皆死于明	Sự vị năng tế, giai tử vu Minh.
時清華右衛殿前將軍安清侯阮金宋山沛庄人一云弘裕之子等率子弟奔哀牢國	Thời, Thanh Hoa hữu vệ điện tiền tướng quân An Thanh hầu Nguyễn Kim [Tống Sơn Phái Trang nhân nhất vân Hoằng Dụ chi tử ], đẳng suất tử đệ bôn Ai Lao quốc.
主乍斗以為唇齒之󰘊給以岑州人民及土地㱕之	Chúa Sạ Đẩu dĩ vi thần xỉ chi bang, cấp dĩ Sầm Châu nhân dân cập thổ địa quy chi.
由是畜養士卒招亡納叛陰求黎氏子孫立之以圖恢復	Do thị, súc dưỡng sĩ tốt, chiêu vong nạp phản, âm cầu Lê thị tử tôn lập chi, dĩ đồ khôi phục.
莫開會試科	Mạc khai Hội thí khoa.
賜杜綜文江縣賴屋社阮沆阮文徽三名進士及第阮雲光等八名進士出身	Tứ Đỗ Tống [Văn Giang huyện, Lại Ốc xã], Nguyễn Hàng, Nguyễn Văn Huy tam danh tiến sĩ cập đệ; Nguyễn Vân Quang đẳng bát danh tiến sĩ xuất thân;..
阮有焕等十六名同進士出身	Nguyễn Hữu Hoán đẳng thập lục danh đồng tiến sĩ xuất thân.
冬十二月時莫登庸簒位三年自以年老乃以位與其長子登瀛自稱太上皇出居祥光殿以漁為業遨遊自樂	Đông, thập nhị nguyệt, thời, Mạc Đăng Dung soán vị tam niên, tự dĩ niên lão, nãi dĩ vị dữ kì trưởng tử Đăng Doanh, tự xưng Thái thượng hoàng, xuất cư Tường Quang điện, dĩ ngư vi nghiệp ngao du tự lạc.
莫登瀛登庸之子僣位十一年後僣追称尊號為太宗	Mạc Đăng Doanh [Đăng Dung chi tử, tiếm vị thập nhất niên, hậu tiếm truy xưng tôn hiệu vi Thái Tông].
庚寅莫大正元年明嘉靖九年	Canh Dần [Mạc Đại Chính nguyên niên, Minh Gia tĩnh cửu niên].
春正月朔莫登瀛僣位大赦改元大正	Xuân, chính nguyệt, sóc, Mạc Đăng Doanh tiếm vị, đại xá, cải nguyên Đại Chính.
時清華人黎意以黎氏外孫憤莫氏簒僣乃起兵于椰州復稱光紹年號人多㱕之旬月之間郡縣響應兵至數萬餘人乃與部將	Thời, Thanh Hoa nhân Lê Ý dĩ Lê thị ngoại tôn, phẫn Mạc thị soán tiếm, nãi khởi binh vu Da Châu, phục xưng Quang Thiệu niên hiệu, nhân đa quy chi, tuần nguyệt chi gian, quận huyện hưởng ứng, binh chí sổ vạn dư nhân, nãi dữ bộ tướng..
黎如璧黎伯造何公僚黎宗舍阮暠等布列营寨分置奇隊部伍起砲令揚旗號屯兵馬江	Lê Như Bích, Lê Bá Tạo, Hà Công Liêu, Lê Tông Xá, Nguyễn Cảo đẳng bố liệt doanh trại, phân trí kì đội, bộ ngũ, khởi pháo lệnh, dương kì hiệu, đồn binh Mã giang.
於是遠𣂷豪傑咸以為黎氏復興相與奮𭛁趍附不數年間軍聲大振	Ư thị, viễn cận hào kiệt hàm dĩ vi Lê thị phục hưng, tương dữ phấn phát xu phụ, bất sổ niên gian quân thanh đại chấn.
三月大旱蝗䖝禾榖枯死至六月下旬始雨	Tam nguyệt, đại hạn, hoàng trùng hoà cốc khô tử, chí lục nguyệt hạ tuần thuỷ vũ.
夏四月登庸自督始步數萬擊黎意于馬江	Hạ, tứ nguyệt, Đăng Dung tự đốc thuỷ bộ sổ vạn kích Lê Ý vu Mã giang.
登庸兵數敗乃退回京師留其太師麟國公莫國楨等鎮守華林營	Đăng Dung binh sổ bại, nãi thoái hồi Kinh Sư, lưu kì Thái sư Lân Quốc công Mạc Quốc Trinh đẳng trấn thủ Hoa Lâm doanh.
後國楨退守宋江	Hậu Quốc Trinh thoái thủ Tống Giang.
秋七月黎意進屯西都城立行營于義路江	Thu, thất nguyệt, Lê Ý tiến đồn Tây Đô thành, lập hành dinh vu Nghĩa Lộ giang.
時	Thờị.
有人進黄袍及黄盖二柄将士大賀	hữu nhân tiến hoàng bào, cập hoàng cái nhị bính, tướng sĩ đại hạ.
八月二十三日登庸既回京登瀛又引兵入清華大會于弘化江分兵二道並進	Bát nguyệt, nhị thập tam nhật, Đăng Dung ký hồi Kinh, Đăng Doanh hựu dẫn binh nhập Thanh Hoa, đại hội vu Hoằng Hoá giang, phân binh nhị đạo tịnh tiến.
莫國楨領戦船二百隻先進限後日至安定多祿江一作烈市江	Mạc Quốc Trinh lĩnh chiến thuyền nhị bách chích tiên tiến, hạn hậu nhật chí Yên Định, Đa Lộc giang [Nhất tác Liệt Thị giang ].
時黎意先已預僃陳疑兵于多祿江自將精兵夜時潜進間行縣中及旦軍至安山江邉大起砲號三聲截戦國楨後	Thời, Lê Ý tiên dĩ dự bị, trần nghi binh vu Đa Lộc giang, tự tương tinh binh dạ thời tiềm tiến gian hành huyện trung, cập đán quân chí An Sơn giang biên, đại khởi pháo hiệu tam thanh, tiệt chiến Quốc Trinh hậu.
軍莫兵驚會棄船登岸走散	Quân Mạc binh kinh hội, khí thuyền đăng ngạn tẩu tán.
意騎馬親率諸将突陣衝擊手刺七十餘人	Ý kị mã thân suất chư tướng đột trận xung kích, thủ thích thất thập dư nhân.
莫兵大潰乘勢逐北斬首無數	Mạc binh đại hội, thừa thế trục bắc, trảm thủ vô số.
是日午時登	Thị nhật, Ngọ thời, Đăng..
瀛未知國楨已散自督其宗室進兵洞滂以躡黎意兵後	Doanh vị tri Quốc Trinh dĩ tán, tự đốc kì tông thất tiến binh Động Bàng dĩ niếp Lê Ý binh hậu.
意聞之乃奮身𭁈諸将令曰今日遇此大敵若不戦則何日以興復黎朝乎	Ý văn chi nãi phấn thân dữ chư tướng lệnh viết: Kim nhật ngộ thử đại địch, nhược bất chiến tắc hà nhật dĩ hưng phục Lê triều hồ?.
諸将聞令咸奮力縱兵進戦大破之斬莫兵萬餘死屍相󰥺	Chư tướng văn lệnh hàm phấn lực túng binh tiến chiến, đại phá chi, trảm Mạc binh vạn dư, tử thi tương chẩm.
登瀛退兵固守	Đăng Doanh thoái binh cố thủ.
意軍一日兩勝威聲大振莫兵遠去	Ý quân nhất nhật lưỡng thắng, uy thanh đại chấn Mạc binh viễn khứ.
冬十一月登瀛還京	Đông, thập nhất nguyệt, Đăng Doanh hoàn Kinh.
十二月黎意為莫兵所獲	Thập nhị nguyệt, Lê Ý vị Mạc binh sở hoạch.
時意收兵撤寨退屯椰州以兵勝心驕不為預僃少有輕敵之心	Thời Ý thu binh triệt trại, thoái đồn Da Châu, dĩ binh thắng tâm kiêu, bất vi dự bị, thiểu hữu khinh địch chi tâm.
至是兵少食盡令使将士遠入山内運糧以此營寨空踈隊	Chí thị, binh thiểu thực tận, lệnh sử tướng sĩ viễn nhập sơn nội vận lương, dĩ thử doanh trại không sơ, đội..
伍不整	ngũ bất chỉnh.
人有來報莫國楨消息	Nhân hữu lai báo Mạc Quốc Trinh tiêu tức.
國楨乃󰱇輕兵戦船五十隻日夜兼行進至枷州寨	Quốc Trinh nãi tuyển khinh binh chiến thuyền ngũ thập chích, nhật dạ kiêm hành tiến chí Da Châu trại.
意突戦不克為莫兵獲之軍大會走或奔投哀牢㱕于安清侯阮金或散㱕田野	Ý đột chiến bất khắc, vị Mạc binh hoạch chi, quân đại hội tẩu, hoặc bôn đầu Ai Lao quy vu An Thanh hầu Nguyễn Kim, hoặc tán quy điền dã.
國楨檻送意回京軍裂于城南門外	Quốc Trinh giám tống Ý hồi kinh, quân liệt vu thành Nam môn ngoại.
辛卯莫大正二年明嘉靖十年	Tân Mão [Mạc Đại Chính nhị niên Minh Gia Tĩnh thập niên].
黎朝𦾔臣璧溪侯黎公淵阮我阮壽長阮仁連等公淵雷陽海歷人壽長農河内人仁連廣南彰義人貢起兵于清華	Lê triều cựu thần Bích Khê hầu Lê Công Uyên, Nguyễn Ngã, Nguyễn Thọ Trường, Nguyễn Nhân Liên đẳng [Công Uyên Lôi Dương Hải Lịch nhân, Thọ Trường Nông Hà Nội nhân, Nhân Liên Quảng Nam Chương Nghĩa nhân], Cống khởi binh vu Thanh Hoa.
時公淵等忿莫氏無君乃自率子弟㱕清華起兵亦称黎兵擄掠郡縣燒毀民家	Thời, Công Uyên đẳng phẫn Mạc thị vô quân, nãi tự suất tử đệ quy Thanh Hoa khởi binh, diệc xưng Lê binh, lỗ lược quận huyện, thiêu huỷ dân gia..
或在陣亡殁或擒獲送京	hoặc tại trận vong một, hoặc cầm hoạch tống kinh.
一方之民偏受其害抔得休息人民飢饉米一升直錢一陌	Nhất phương chi dân thiên thụ kì hại, bất đắc hưu tức, nhân dân cơ cận, mễ nhất thăng trực tiền nhất mạch.
後山東人名䧺山者得罪於莫乃自將子弟數百人竄入清華創立營󰀋㨿守数月	Hậu Sơn Đông nhân danh Hùng Sơn giả đắc tội ư Mạc, nãi tự tương tử đệ sổ bách nhân, thoán nhập Thanh Hoa, sáng lập doanh sách cứ thủ sổ nguyệt.
登瀛使将擊之	Đăng Doanh sử tướng kích chi.
舍於玉勳村病卒兵乃乱	Xá ư Ngọc Huân thôn, bệnh tốt, binh nãi loạn.
壬辰莫大正三年春明家靖十一年	Nhâm thìn [Mạc Đại Chính tam niên Xuân, Minh Gia Tĩnh thập nhất niên].
莫開會試科	Mạc khai Hội thí khoa.
賜阮倩清威耕獲人仕至尙書舒郡公後㱕命黎朝倦之父裴永吾山快三名進士及第阮迪康等六名進士出身阮良弼等十八名同進士出身	Tứ Nguyễn Thiến [Thanh oai Canh Hoạch nhân sĩ chí Thượng thư Thư quận công, hậu quy mệnh Lê triều, Quyện chi phụ], Bùi Vĩnh, Ngô Sơn Khoái tam danh tiến sĩ cập đệ; Nguyễn Địch Khang đẳng lục danh tiến sĩ xuất thân; Nguyễn Lương Bật đẳng thập bát danh đồng tiến sĩ xuất thân.
莫令禁内外各處不得持鎗釖及	Mạc lệnh cấm nội ngoại các xứ bất đắc trì thương đao cập..
尖刀干戈兵噐横衡道路	tiêm đao, can qua binh khí hoành hành đạo lộ.
違者許法司捕捉	Vi giả hứa pháp ti bổ tróc.
於是商賈及行人皆空手而行夜無道劫放牧不收每一月一點視或有生産不䏻識其家物	Ư thị, thương giá cập hành nhân giai không thủ nhi hành, dạ vô đạo kiếp, phóng mục bất thu, mỗi nhất nguyệt nhất điểm thị, hoặc hữu sinh sản bất năng thức kì gia vật.
數年之間道不拾遺外户不閉屢大有年境内稍安	Sổ niên chi gian, đạo bất thập di, ngoại hộ bất bế, lũ đại hữu niên, cảnh nội sảo an.
冬十月登瀛勅賜中人忠厚侯鈌姓名弘化縣人為大将軍使領兵統𬋩清華三府同三司官總鎮一方兵民	Đông, thập nguyệt, Đăng Doanh sắc tứ trung nhân Trung Hậu hầu [Khuyết tính danh Hoằng Hoá huyện nhân ] vi đại tướng quân, sử lĩnh binh thống quản Thanh Hoa tam phủ đồng tam ti quan tổng trấn nhất phương binh dân.
西安伯黎丕承安定縣香市人譖曰愛州之地山川險峻地勢肥饒兵糧富足且權宜分不宜專若專之必致禍亂倘有变𭛁恐後難制此地	Tây An bá Lê Phỉ Thừa [Yên Định huyện Hương Thị nhân] Tiếm viết: Ái Châu chi địa, sơn xuyên hiểm tuấn, địa thế phì nhiêu, binh lương phú túc, thả quyền nghi phân bất nghi chuyên, nhược chuyên chi tất trí hoạ loạn, thảng hữu biến phát, khủng hậu nan chế, thử địa..
非朝廷之有也	phi triều đình chi hữu dã.
臣願詳察毋爲後悔	Thần nguyện tường sát, vô vi hậu hối.
登瀛乃復分清華為二瑞源安定永福東山錦水石城廣平七縣委黎丕承𬋩統之與忠厚侯相為控制	Đăng Doanh nãi phục phân Thanh Hoa vi nhị Thuỵ Nguyên, Yên Định, Vĩnh Phúc, Đông Sơn, Cẩm Thuỷ, Thạch Thành, Quảng Bình thất huyện uỷ Lê Phỉ thừa quản thống chi, dữ Trung Hậu hầu tương vi khống chế.
及丕承得權乃自益驕縱卒生变心	Cập Phỉ Thừa đắc quyền, nãi tự ích kiêu túng, tốt sinh biến tâm.
是月彗星見東方	Thị nguyệt, Tuệ tinh kiến Đông phương.
十二月黎朝𦾔臣安清侯阮金尊立昭宗之子寧于哀牢	Thập nhị nguyệt, Lê triều cựu thần An Thanh hầu Nguyễn Kim tôn lập Chiêu Tông chi tử Ninh vu Ai Lao.
初金在哀牢養兵蓄銳使人徃國中遍求黎氏子孫乃得昭宗之子寕尊立爲帝改元阮和是為荘宗以正國統	Sơ Kim tại Ai Lao dưỡng binh súc nhuệ, sử nhân vãng quốc trung biến cầu Lê thị tử tôn, nãi đắc Chiêu Tông chi tử Ninh, tôn lập vi đế, cải nguyên Nguyễn Hoà [Thị vi Trang Tông] dĩ chính quốc thống.
於是西土豪傑之士多㱕附之	Ư thị, Tây thổ hào kiệt chi sĩ đa quy phụ chi.
帝拜金為太師興國公及	Đế bái Kim vi Thái sư Hưng quốc công, cập..
諸将佐皆以次受封	chư tướng tá giai dĩ thứ thụ phong.
凡軍民事無大小悉皆委之日夜恊謀共圖興復	Phàm quân dân sự vô đại tiểu tất giai uỷ chi, nhật dạ hiệp mưu cộng đồ hưng phục.
登柄評曰黎朝不幸巾衰至此極矣	Đăng Bính bình viết: Lê triều bất hạnh cân suy, chí thử cực hĩ.
故愚嘗曰莫氏者黎朝之叛臣也	Cố ngu thường viết Mạc thị giả Lê triều chi phản thần dã.
至黎帝即位于哀牢始以正統紀年以明君臣之分正大綱也	Chí Lê đế tức vị vu Ai Lao, thuỷ dĩ chính thống kỷ niên, dĩ minh quân thần chi phận chính đại cương dã.
