大越史記本紀全書卷之一	Đại Việt Sử Ký Bản Kỷ Toàn Thư Quyển Chi Nhất.
令諸將及軍人曰明賊残害我民二十餘載𥘉我軍數百萬有餘	Lệnh chư tướng cập quân nhân viết Minh tặc tàn hại ngã dân nhị thập dư tải Sơ ngã quân sổ bách vạn hữu dư.
見今三十	Hiện kim tam thập..
五萬待破東󰪕城放二十五萬㱕農留十萬爲軍防禦國事	ngũ vạn đãi phá Đông Quan thành, phóng nhị thập ngũ vạn quy nông, lưu thập vạn vi quân phòng ngự quốc sự.
一家三人一人爲軍凣諸賦役並復三年	Nhất gia tam nhân, nhất nhân vi quân, phàm chư phú dịch tịnh phục tam niên.
又以軍憲十條示将校軍人曰一軍中諠譁	Hựu dĩ quân hiến thập điều thị tướng hiệu quân nhân viết: nhất quân trung huyên hoa.
一軍中虚驚妄言禍福以搖動軍情	Nhất quân trung hư kinh vọng ngôn, hoạ phúc dĩ dao động quân tình.
一臨陣聞皷聲見指旗而佯爲不文不見逗遛不進	Nhất lâm trận, văn cổ thanh, kiến chỉ kì nhi dương vi bất văn bất kiến đậu lưu bất tiến.
一臨陣見止軍之旗聞止軍之鑼而不止	Nhất lâm trận kiến chỉ quân chi kì văn chỉ quân chi la nhi bất chỉ.
一聞退軍之鉦而強不退	Nhất văn thoái quân chi chinh nhi cường bất thoái.
一防直不勤或熟睡不守離伍潜回	Nhất phòng trực bất cần hoặc thục thuỵ bất thủ li ngũ tiềm hồi.
一󰱏惑女色私放妻黨而不當軍役	Nhất đam hoặc nữ sắc tư phóng thê đảng nhi bất đương quân dịch.
一賣放軍人及影󰰿而不著軍籍	Nhất mại phóng quân nhân cập ảnh tế nhi bất trứ quân tịch.
一以私好惡	Nhất dĩ tư hảo ố..
而顛倒人之功過	nhi điên đảo nhân chi công quá.
一與眾不和姦惡偷盗	Nhất dữ chúng bất hoà gian ác thâu đạo.
以上十條犯者斬	Dĩ thượng thập điều phạm giả trảm.
以少保黎文安總知國威上中三帶廣威軍事	Dĩ Thiếu bảo Lê Văn An Tổng tri Quốc Oai thượng trung tam đái Quảng Oai quân sự.
仍命之曰但有執令監軍不遵爾之節制先斬後文	Nhưng mệnh chi viết: Đản hữu chấp lệnh giám quân bất tuân nhĩ chi tiết chế tiên trảm hậu văn.
以三條戒文武官一勿無情二勿欺慢三勿姦貪	Dĩ tam điều giới văn vũ quan: Nhất vật vô tình, Nhị vật khi mạn, Tam vật gian tham.
諭天下諸豪傑曰諸城以破惟東䦕城未下	Dụ thiên hạ chư hào kiệt viết: Chư thành dĩ phá duy Đông Quan thành vị hạ.
我以此卧不安席食不甘味夙夜焦思	Ngã dĩ thử ngoạ bất an tịch, thực bất cam vị, túc dạ tiêu tư.
且我之左右未得其人	Thả ngã chi tá hữu vị đắc kì nhân.
雖爲主将反觀於已一則老病不	Tuy vi chủ tướng, phản quan ư dĩ nhất tắc lão bệnh, bất..
才二則所𭓇淺見而則任重難勝而大臣左右相國太傅太保未置太尉都元帥猶鈌如行遣并各官十纔一二是以折節推誠勸諸豪傑胥相戮力匡救萬民莫韜光晦跡使天下久𨺻塗炭或有髙節如四皓嘉遯如子房亦且爲民救難俟其成功欲遂素志㱕山林不復汝禁	tài nhị tắc sở học thiển kiến nhi tắc nhiệm trọng nan thắng nhi đại thần tả hữu tướng quốc thái phó thái bảo vị trí thái uý đô nguyên soái do khuyết như hành khiển tịnh các quan thập tài nhất nhị thị dĩ triết tiết suy thành khuyến chư hào kiệt tư tương lục lực khuông cứu vạn dân mạc thao quang hối tích sử thiên hạ cửu thao đồ than hoặc hữu cao tiết như tứ hạo gia độn như Tử Phòng diệc thả vi dân cứu nạn sĩ kì thành công dục toại tố chí quy sơn lâm bất phục nhữ cấm.
令曰凣差使管下者並給以帖或打墨記或署本𬋩姓名及行人多少就某處行某事定旱日其還營無得公然去來	Lệnh viết: Phàm sai sứ quản hạ giả tịnh cấp dĩ thiêm hoặc đả mặc ký hoặc thự bản quản tính danh cập hành nhân đa thiểu, tựu mỗ xứ, hành mỗ sự, định hạn nhật kì hoàn dinh, vô đắc công nhiên khứ lai.
如本管及管下不遵令者	Như bản quản cập quản hạ bất tuân lệnh giả..
隨其輕重加降杖刖斬之刑	tuỳ kì khinh trọng, gia giáng trượng ngoạt trảm chi hình.
若監得賊人通同情狀有重賞	Nhược giam đắc tặc nhân thông đồng tình trạng hữu trọng thưởng.
禁󰚴盐不得與琴爛通同	Cấm hàm diêm bất đắc dữ cầm lạn thông đồng.
令要處嚴行把截譏寨異色之人及四邉軍書之真偽者	Lệnh yếu xứ, nghiêm hành bả tiệt cơ trại dị sắc chi nhân cập tứ biên quân thư chi chân nguỵ giả.
五月令大小将校供結無有姦貪受賂娶本路妻影占軍人親族以差使者	Ngũ nguyệt, lệnh đại tiểu tướng hiệu cung kết vô hữu gian tham thụ lộ, thú bản lộ thê, ảnh chiếm quân nhân thân tộc dĩ sai sứ giả.
令續納所受吳時文憑勘合印信	Lệnh tục nạp sở thụ Ngô thời văn bằng khám hợp ấn tín.
布政縣阮子驩献策稱㫖授軍師	Bố chính huyện Nguyễn Tử Hoan hiến sách xưng chỉ thụ quân sư.
令僧道父老係有迎接官軍数者路官訪問果有德行年老給以職爵	Lệnh tăng đạo phụ lão hệ hữu nghênh tiếp quan quân sổ giả lộ quan, phỏng vấn quả hữu đức hạnh niên lão cấp dĩ chức tước.
令少尉𰺥令路官等速收在城偽土官軍民妻子	Lệnh thiếu uý, chấp lệnh, lộ quan đẳng tốc thu tại thành nguỵ thổ quan quân dân thê tử..
奴婢財勿牛隻畫數送納檢察懷異之人搜索僞官文憑印信依期上納選人丁壯者續補軍伍不得變易	nô tì, tài vật, ngưu chích hoạch sổ tống nạp kiểm sát hoài dị chi nhân sưu sách nguỵ quan văn bằng ấn tín y kì thượng nạp tuyển nhân đinh tráng giả tục bổ quân ngũ bất đắc biến dị.
明思明府陵通等州韋報等十人來行	Minh Tư Minh phủ Lăng Thông đẳng châu vi báo đẳng thập nhân lai hàng.
賞慈廉機舍戰陣之功	Thưởng Từ Liêm Cơ Xá chiến trận chi công.
令諸将校曰凣聞砲一響而無鉦聲者諸将速來聽令砲或二響三響鉦或二鳴是有警急執令督将速整行伍少尉就營聽令	Lệnh chư tướng hiệu viết phàm văn pháo nhất hưởng nhi vô chinh thanh giả chư tướng tốc lai thính lệnh pháo hoặc nhị hưởng tam hưởng chinh hoặc nhị minh thị hữu cảnh cấp chấp lệnh đốc tướng tốc chỉnh hàng ngũ thiếu uý tựu dinh thính lệnh.
令天長建昌蒞仁新興收養各城降人南女該六天餘人毋令饑寒失所	Lệnh Thiên Trường Kiến Xương Lí Nhân Tân Hưng thu dưỡng các thành hàng nhân nam nữ cai lục thiên dư nhân vô lệnh cơ hàn thất sở.
嘉興鎮木忙父道車可參等㱕	Gia Hưng trấn Mộc Mường phụ đạo Xa Khả Tham đẳng quy..
順授可參入内司空同平章事知陀江鎮上伴賜金魚袋柱國冠服侯	thuận thụ Khả Tham nhập nội tư không đồng bình chương sự tri Đà Giang trấn thượng bạn; tứ kim ngư đại, Trụ quốc quan phục hầu.
車祿金吾衞上将軍大置字車渴車盤車點並爲玉鈐衞大将軍明字並四國姓	Xa Lộc Kim ngô vệ thượng tướng quân Đại Trí tự; Xa Khát, Xa Bàn, Xa điểm tịnh vi Ngọc kiểm vệ đại tướng quân, Minh tự tịnh tứ quốc tính.
夏六月初十日明鎮守廣西征蛮将軍鎮遠侯顧興祖領兵五萬馬五千疋由廣西來救援各城	Hạ lục nguyệt, sơ thập nhật, Minh trấn thủ Quảng Tây Chinh man tướng quân trấn viễn hầu Cố Hưng Tổ lĩnh binh ngũ vạn mã ngũ thiên sất do Quảng Tây lai cứu viện các thành.
至坡壘關守關将黎榴黎盃邀擊於坡壘關大破之斬守三千餘級獲馬五百匹	Chí Pha Luỹ quan, thủ quan tướng Lê Lựu, Lê Bôi yêu kích ư Pha Luỹ quan, đại phá chi, trảm thủ tam thiên dư cấp, hoạch mã ngũ bách sất.
興祖大敗走還	Hưng Tổ đại bại tẩu hoàn.
葵州父道琴爛㱕順	Quỳ châu phụ đạo Cầm Lạn quy thuận.
加侍中思齊爲司徒大司馬黎仁澍爲司空少尉黎	Gia thị trung Tư tề vi Tư đồ; Đại tư mã lê Nhân Chú vi Tư không; Thiếu uý Lê..
問黎察爲司馬上将黎盃爲少尉仍戒之曰職爵已髙夙也匪懈無得慢志而廢功賜傘各一柄	Vấn Lê Sát vi Tư mã; Thượng tướng Lê Bôi vi Thiếu Uý Nhưng giới chi viết: Chức tước dĩ cao túc dạ phỉ giải vô đắc mạn chí nhi phế công tứ tản các nhất bính.
定僞官妻妾奴婢贖錢例布政司妻七十下至生員土官承差伴當等妻十鏹男女奴婢自十嵗以下十鏹之半	Định nguỵ quan thê thiếp nô tì thục tiền lệ bố chính ti thê thất thập hạ chí sinh viên thổ quan thừa sai bạn đương đẳng thê thập cưỡng nam nữ nô tì tự thập tuế dĩ hạ thập cưỡng chi bán.
令諸路儲積官粟不可輕發	Lệnh chư lộ trữ tích quan túc bất khả khinh phát.
築小堡於機舍州明人擊破之帝令勿救以示其怯	Trúc tiểu bảo ư Cơ Xá châu, Minh nhân kích phá chi, đế lệnh vật cứu dĩ thị kì khiếp.
秋七月令諸路并各火文宫諸軍将校修户籍時仍陳朝舊效呼尙書門下省行遣爲左右火	Thu thất nguyệt, lệnh chư lộ tịnh các hoả văn cung chư quân tướng hiệu tu hộ tịch [Thời nhưng Trần triều cựu hiệu hô thượng thư môn hạ sảnh hành khiển vi tả hữu hoả].
占人進物	Chiêm nhân tiến vật.
令諸衞水軍每戦船用五十人守	Lệnh chư vệ thuỷ quân, mỗi chiến thuyền dụng ngũ thập nhân thủ..
砦五人餽餉五人差使五人令北江三路各運糧三千擔謂一人所㱕貯昌江城	trại ngũ nhân quỹ hướng ngũ nhân sai sứ ngũ nhân lệnh Bắc Giang tam lộ các vận lương tam thiên đảm [Vị nhất nhân sở tê ] trữ Xương Giang thành.
令凣見木忙紅衣人載󰚴盐㱕不得禁止	Lệnh phàm kiến Mộc Mường hồng y nhân tải hàm diêm quy bất đắc cấm chỉ.
令諸軍臨陣或五十人百人私自奔却而遺棄一二人不救者斬全眾不幸陣亡而䏻併力舁音于對舉也出者免罪	Lệnh chư quân lâm trận hoặc ngũ thập nhân bách nhân tư tự bôn khước nhi di khí nhất nhị nhân bất cứu giả trảm toàn chúng bất hạnh trận vong nhi năng tịnh lực dư [âm vu đối cử dã ] xuất giả miễn tội.
令諸将軍曰掌軍施者勤於征伐典漕運者勤於餽餉	Lệnh chư tướng quân viết: "Chưởng quân thí giả cần ư chinh phạt, điển tào vận giả cần ư quỹ hướng.
入山斫板𤌄沙爲盐把截水陸禁捕姦非各宜忘身殫慮共圖滅賊	Nhập sơn chước bản, chử sa vi diêm, bả tiệt thuỷ lục, cấm bổ gian phi, các nghi vong thân đạn lự cộng đồ diệt tặc.
𡸈予爲民父母不念艱難而敢興死辛苦之事乎特出於不得	Khởi dư vi dân phụ mẫu, bất niệm gian nan nhi cảm hưng tử tân khổ chi sự hồ? Đặc xuất ư bất đắc..
已也	dĩ dã.
綠東關城土塊戦功	Lục Đông Quan thành Thổ Khối chiến công.
賞以銀牌錢絹	Thưởng dĩ ngân bài tiền quyến.
司空黎可參進象三隻及金銀鈎銅鉦等勿	Tư không Lê Khả tham tiến tượng tam chích cập kim ngân câu đồng chinh đẳng vật.
哀牢進方物	Ai Lao tiến phương vật.
八月諭天下曰賊在中國民猶未定於汝安乎昔胡氏無道賊因此而奪我國家	Bát nguyệt dụ thiên hạ viết Tặc tại Trung Quốc dân do vị định ư nhữ an hồ? Tích Hồ thị vô đạo, tặc nhân thử nhi đoạt ngã quốc gia.
虐害之中爾眾已見之矣	Ngược hại chi trung nhĩ chúng dĩ kiến chi hĩ.
且已一年用力之艱難而有萬年太平之機業其熟思之毋貽後悔	Thả dĩ nhất niên dụng lực chi gian nan nhi hữu vạn niên Thái Bình chi cơ nghiệp, kì thục tư chi, vô di hậu hối.
令諸路凣見軍民運糧買賣即給帖指就處所不得妄去	Lệnh chư lộ: phàm kiến quân dân vận lương mãi mại tức cấp thiêm chỉ tựu xứ sở, bất đắc vọng khứ.
以員外郎黎克諧裴必應克正副使賫馬匹	Dĩ viên ngoại lang Lê Khắc Hài, Bùi Tất Ứng khắc chính phó sứ tê mã sất..
青白玻瓈酒噐賜占城主	thanh bạch pha lê tửu khí tứ Chiêm Thành chủ.
令造功城車修戦噐	Lệnh tạo công thành xa tu chiến khí.
賞黎可參絹二十疋馬十匹	Thưởng Lê Khả tham quyến nhị thập sất mã thập sất.
令諸路民人就菩提營選壯者補軍伍	Lệnh chư lộ dân nhân tựu Bồ Đề dinh tuyển tráng giả bổ quân ngũ.
諭新平順化将校軍人曰昔者占城逆命侵我邉疆乃祖乃父䏻輸誠效順圖報國家殺敗賊徒復我疆土芳名偉績簡󰀋昭垂	Dụ Tân Bình, Thuận Hoá tướng hiệu quân nhân viết: "Tích giả Chiêm Thành nghịch mệnh xâm ngã biên cương, nãi tổ nãi phụ năng thâu thành hiệu thuận đồ báo quốc gia, sát bại tặc đồ, phục ngã cương thổ, phương danh vĩ tích, giản sách chiêu thuỳ.
今者明人不道上逆天心黷武窮兵務開土地生民𡍼炭二十餘年	Kim giả Minh nhân bất đạo, thượng nghịch, thiên tâm độc vũ, cùng binh vụ khai thổ địa, sinh dân đồ thán nhị thập dư niên.
凣我京路未見有	Phàm ngã kinh lộ vị kiến hữu.
攄忠效力樹立功各而爾等以藩屏之臣克念前日祖父之力盡忠王家先戦有功	Sư trung hiệu lực, thụ lập công các nhi nhĩ đẳng dĩ phiên bình chi thần khắc niệm tiền nhật tổ phụ chi lực, tận trung vương gia tiên chiến hữu công.
若	Nhược..
兹忠誠良可褒奬特陛爾爵爲亞大僚𤤻爾其朂哉	tư trung thành lương khả bao tưởng đặc bệ nhĩ tước vi á Đại Liêu ban nhĩ kì húc tai.
九月八日太尉陳捍司馬黎察少尉黎篆黎理等攻昌江城拨之	Cửu nguyệt bát nhật, Thái uý Trần Hãn, Tư mã Lê Sát, Thiếu uý Lê Triện Lê Lí đẳng công Xương Giang thành bạt chi.
時明指揮金胤以城當㱕路與新授官李任死守	Thời Minh chỉ huy Kim Dận dĩ thành đương quy lộ dữ tân thụ quan Lí Nhậm tử thủ.
閲六月餘與快州諒江等軍相拒隨擊隨禦官軍不䏻登	Duyệt lục nguyệt dư dữ Khoái Châu, Lạng Giang đẳng quân tương cự tuỳ kích tuỳ ngự, quan quân bất năng đăng.
帝命扞等築地設道與敵相戰鈎戟勁努火箭火砲四面合攻城遂陷	Đế mệnh Hãn đẳng trúc địa thiết đạo dữ địch tương chiến, câu, kích, kính, nỗ, hoả tiễn, hoả pháo tứ diện hợp công thành, toại hãm.
胤任皆自殺	Dận, Nhậm giai tự sát.
所獲玉白女子盡以賜士卒	Sở hoạch ngọc bạch, nữ tử tận dĩ tứ sĩ tốt.
明總兵王通聞之爲文致祭	Minh tổng binh Vương Thông văn chi, vi văn trí tế.
經十日援兵果至而城已陷	Kinh thập nhật viện binh quả chí nhi thành dĩ hãm.
帝令諸将築萬春隄爲	Đế lệnh chư tướng trúc Vạn Xuân đê vi..
壘	luỹ.
初明人於城外大江旁穿小渠以藏戰船噐械築附城固守而萬春隄乃哨騎芻牧之所經由乘高伺便以爲得計	Sơ Minh nhân ư thành ngoại Đại giang bàng xuyên tiểu cừ dĩ tàng chiến thuyền khí giới, trúc phụ thành cố thủ nhi Vạn Xuân đê nãi tiêu kị sô mục chi sở kinh, do thừa cao tứ tiện, dĩ vi đắc kế.
官軍進擊明人常設伏以争鋭	Quan quân tiến kích, Minh nhân thường thiết phục dĩ tranh nhuệ.
帝令諸将渡何出其不意奪隄築壘一夜而成盡爲所有	Đế lệnh chư tướng độ hà, xuất kì bất ý đoạt đê trúc luỹ, nhất dạ nhi thành, tận vi sở hữu.
及聞援兵至諸将士多上書勸帝攻東都各城以絶内應	Cập văn viện binh chí, chư tướng sĩ đa thượng thư khuyến đế công Đông Đô các thành dĩ tuyệt nội ứng.
帝曰攻城下策也	Đế viết: "Công thành hạ sách dã.
我攻堅城歲月不下我軍力疲氣沮若賊援再至腹皆受敵此危道也	Ngã công kiên thành tuế nguyệt bất hạ, ngã quân lực bì khí tự nhược, tặc viện tái chí phúc giai thụ địch, thử nguy đạo dã.
